testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 4, 400, 5, 8, 11, 0, 713.78, 3  (CARRY4=2 LUT6=1), 0.661, 0.636, 0.024
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 4, 200, 5, 8, 11, 0, 713.78, 3  (CARRY4=2 LUT6=1), 0.648, 0.636, 0.012
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 4, 600, 6, 8, 11, 0, 704.23, 3  (CARRY4=2 LUT6=1), 0.673, 0.637, 0.037
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 5, 200, 5, 9, 13, 0, 677.97, 3  (CARRY4=2 LUT6=1), 0.650, 0.636, 0.014
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 5, 600, 7, 9, 13, 0, 704.23, 3  (CARRY4=2 LUT6=1), 0.678, 0.637, 0.042
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 5, 400, 5, 9, 13, 0, 686.81, 3  (CARRY4=2 LUT6=1), 0.664, 0.636, 0.028
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 6, 200, 6, 10, 15, 0, 666.22, 3  (CARRY4=2 LUT6=1), 0.652, 0.636, 0.016
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 6, 400, 6, 10, 15, 0, 670.24, 3  (CARRY4=2 LUT6=1), 0.668, 0.636, 0.031
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 6, 600, 8, 10, 15, 0, 659.63, 3  (CARRY4=2 LUT6=1), 0.683, 0.637, 0.047
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 7, 200, 7, 11, 17, 0, 632.11, 4  (CARRY4=3 LUT6=1), 0.654, 0.636, 0.017
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 7, 400, 7, 11, 17, 0, 630.12, 4  (CARRY4=3 LUT6=1), 0.671, 0.637, 0.034
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 7, 600, 8, 11, 17, 0, 706.71, 3  (CARRY4=2 LUT6=1), 0.688, 0.637, 0.052
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 8, 200, 7, 12, 19, 0, 599.88, 4  (CARRY4=3 LUT6=1), 0.655, 0.636, 0.019
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 8, 400, 7, 12, 19, 0, 683.99, 4  (CARRY4=3 LUT6=1), 0.674, 0.637, 0.038
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 8, 600, 10, 12, 19, 0, 746.83, 3  (CARRY4=2 LUT6=1), 0.694, 0.637, 0.057
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 10, 200, 9, 14, 23, 0, 659.20, 3  (CARRY4=2 LUT6=1), 0.659, 0.636, 0.022
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 10, 400, 9, 14, 23, 0, 659.20, 3  (CARRY4=2 LUT6=1), 0.681, 0.637, 0.044
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 10, 600, 12, 14, 23, 0, 635.32, 4  (CARRY4=3 LUT6=1), 0.704, 0.637, 0.067
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 12, 200, 7, 16, 27, 0, 633.31, 5  (CARRY4=4 LUT6=1), 0.662, 0.636, 0.026
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 12, 400, 7, 16, 27, 0, 650.20, 5  (CARRY4=4 LUT6=1), 0.688, 0.637, 0.051
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 12, 600, 12, 16, 27, 0, 672.04, 3  (CARRY4=2 LUT6=1), 0.714, 0.637, 0.077
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 16, 200, 11, 20, 35, 0, 561.17, 5  (CARRY4=4 LUT6=1), 0.669, 0.636, 0.033
a_and_b, A B, -4 0 5, C1, virtex7, HM1-C1-B0689-02-2, 2, 16, 400, 11, 20, 35, 0, 625.78, 5  (CARRY4=4 LUT6=1), 0.702, 0.637, 0.065
