testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 4, 400, 6, 10, 13, 0, 737.46, 3  (CARRY4=2 LUT6=1), 0.669, 0.636, 0.033
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 4, 200, 6, 10, 13, 0, 697.35, 3  (CARRY4=2 LUT6=1), 0.653, 0.636, 0.016
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 4, 600, 7, 10, 13, 0, 853.24, 3  (CARRY4=2 LUT6=1), 0.685, 0.637, 0.049
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 5, 600, 7, 11, 15, 0, 836.82, 4  (CARRY4=3 LUT6=1), 0.690, 0.637, 0.053
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 5, 400, 7, 11, 15, 0, 712.76, 3  (CARRY4=2 LUT6=1), 0.672, 0.637, 0.036
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 5, 200, 7, 11, 15, 0, 670.69, 3  (CARRY4=2 LUT6=1), 0.654, 0.636, 0.018
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 6, 200, 6, 12, 17, 0, 723.59, 3  (CARRY4=2 LUT6=1), 0.656, 0.636, 0.019
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 6, 400, 6, 12, 17, 0, 723.59, 3  (CARRY4=2 LUT6=1), 0.675, 0.637, 0.039
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 6, 600, 7, 12, 17, 0, 805.80, 2  (CARRY4=1 LUT6=1), 0.695, 0.637, 0.058
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 7, 200, 6, 13, 19, 0, 697.35, 4  (CARRY4=3 LUT6=1), 0.657, 0.636, 0.021
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 7, 400, 6, 13, 19, 0, 710.73, 4  (CARRY4=3 LUT6=1), 0.678, 0.637, 0.042
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 7, 600, 9, 13, 19, 0, 839.63, 4  (CARRY4=3 LUT6=1), 0.700, 0.637, 0.063
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 8, 200, 7, 14, 21, 0, 641.03, 3  (CARRY4=2 LUT6=1), 0.659, 0.636, 0.022
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 8, 400, 7, 14, 21, 0, 725.69, 4  (CARRY4=3 LUT6=1), 0.681, 0.637, 0.045
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 8, 600, 9, 14, 21, 0, 846.02, 4  (CARRY4=3 LUT6=1), 0.704, 0.637, 0.067
recfg_ring, C, -14 2 14 32, C1, virtex7, HM1-C1-C7420-4-1, 4, 10, 200, 7, 16, 25, 0, 618.05, 4  (CARRY4=3 LUT6=1), 0.662, 0.636, 0.025
