testcat, modules, coeffset, cstruct, target, cfgstr, max-shift, wsize-in, freq, clbs, luts, ffs, dsps, fmax, logic-levels, power (total), power (static), power (dynamic)
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 4, 200, 4, 5, 11, 0, 692.52, 3  (CARRY4=2 LUT5=1), 0.648, 0.636, 0.012
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 4, 400, 4, 5, 11, 0, 692.52, 3  (CARRY4=2 LUT5=1), 0.661, 0.636, 0.024
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 4, 600, 6, 5, 11, 0, 859.11, 3  (CARRY4=2 LUT4=1), 0.673, 0.637, 0.036
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 5, 200, 4, 6, 13, 0, 769.82, 3  (CARRY4=2 LUT5=1), 0.650, 0.636, 0.014
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 5, 400, 4, 6, 13, 0, 769.82, 3  (CARRY4=2 LUT5=1), 0.664, 0.636, 0.027
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 5, 600, 6, 6, 13, 0, 895.26, 3  (CARRY4=2 LUT4=1), 0.678, 0.637, 0.041
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 6, 200, 6, 7, 15, 0, 784.93, 2  (CARRY4=2), 0.652, 0.636, 0.015
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 6, 400, 6, 7, 15, 0, 784.93, 2  (CARRY4=2), 0.667, 0.636, 0.031
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 6, 600, 8, 7, 15, 0, 893.66, 3  (CARRY4=2 LUT4=1), 0.683, 0.637, 0.046
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 7, 200, 6, 8, 17, 0, 746.27, 4  (CARRY4=3 LUT5=1), 0.653, 0.636, 0.017
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 7, 400, 6, 8, 17, 0, 780.03, 3  (CARRY4=2 LUT5=1), 0.670, 0.636, 0.034
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 7, 600, 10, 8, 17, 0, 900.90, 4  (CARRY4=3 LUT4=1), 0.688, 0.637, 0.051
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 8, 200, 7, 9, 19, 0, 743.49, 4  (CARRY4=3 LUT4=1), 0.655, 0.636, 0.019
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 8, 400, 7, 9, 19, 0, 743.49, 4  (CARRY4=3 LUT4=1), 0.674, 0.637, 0.037
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 8, 600, 8, 9, 19, 0, 868.06, 3  (CARRY4=2 LUT5=1), 0.693, 0.637, 0.056
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 10, 200, 8, 11, 23, 0, 729.93, 4  (CARRY4=3 LUT5=1), 0.658, 0.636, 0.022
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 10, 400, 8, 11, 23, 0, 668.90, 4  (CARRY4=3 LUT5=1), 0.680, 0.637, 0.044
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 10, 600, 13, 11, 23, 0, 918.27, 3  (CARRY4=3), 0.703, 0.637, 0.066
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 12, 200, 8, 13, 27, 0, 629.72, 5  (CARRY4=4 LUT5=1), 0.661, 0.636, 0.025
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 12, 400, 8, 13, 27, 0, 700.28, 4  (CARRY4=3 LUT5=1), 0.687, 0.637, 0.050
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 12, 600, 12, 13, 27, 0, 851.79, 4  (CARRY4=3 LUT5=1), 0.713, 0.637, 0.075
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 16, 200, 11, 17, 35, 0, 602.05, 5  (CARRY4=4 LUT5=1), 0.668, 0.636, 0.032
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 16, 400, 11, 17, 35, 0, 636.94, 5  (CARRY4=4 LUT5=1), 0.700, 0.637, 0.063
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-A1234-012-0, 2, 16, 600, 15, 17, 35, 0, 807.75, 5  (CARRY4=4 LUT5=1), 0.733, 0.637, 0.095
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 4, 200, 5, 8, 11, 0, 599.88, 2  (CARRY4=1 LUT6=1), 0.650, 0.636, 0.014
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 4, 400, 5, 8, 11, 0, 670.24, 3  (CARRY4=2 LUT6=1), 0.664, 0.636, 0.028
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 4, 600, 6, 8, 11, 0, 704.23, 3  (CARRY4=2 LUT6=1), 0.679, 0.637, 0.042
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 5, 600, 7, 9, 13, 0, 702.25, 2  (CARRY4=1 LUT6=1), 0.684, 0.637, 0.047
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 5, 200, 5, 9, 13, 0, 687.76, 3  (CARRY4=2 LUT6=1), 0.652, 0.636, 0.016
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 5, 400, 5, 9, 13, 0, 687.76, 3  (CARRY4=2 LUT6=1), 0.668, 0.636, 0.031
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 6, 200, 6, 10, 15, 0, 670.24, 3  (CARRY4=2 LUT6=1), 0.654, 0.636, 0.017
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 6, 400, 6, 10, 15, 0, 670.24, 3  (CARRY4=2 LUT6=1), 0.671, 0.637, 0.035
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 6, 600, 9, 10, 15, 0, 663.57, 3  (CARRY4=2 LUT6=1), 0.689, 0.637, 0.053
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 7, 200, 7, 11, 17, 0, 684.93, 4  (CARRY4=3 LUT6=1), 0.656, 0.636, 0.019
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 7, 400, 7, 11, 17, 0, 648.09, 4  (CARRY4=3 LUT6=1), 0.675, 0.637, 0.038
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 7, 600, 7, 11, 17, 0, 711.24, 3  (CARRY4=2 LUT6=1), 0.695, 0.637, 0.058
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 8, 200, 7, 12, 19, 0, 684.93, 4  (CARRY4=3 LUT6=1), 0.657, 0.636, 0.021
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 8, 400, 7, 12, 19, 0, 684.93, 4  (CARRY4=3 LUT6=1), 0.678, 0.637, 0.042
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 8, 600, 9, 12, 19, 0, 711.24, 3  (CARRY4=2 LUT6=1), 0.700, 0.637, 0.063
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 10, 200, 9, 14, 23, 0, 594.88, 3  (CARRY4=2 LUT6=1), 0.661, 0.636, 0.024
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 10, 400, 9, 14, 23, 0, 664.45, 4  (CARRY4=3 LUT6=1), 0.686, 0.637, 0.049
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 10, 600, 12, 14, 23, 0, 660.50, 3  (CARRY4=2 LUT6=1), 0.711, 0.637, 0.074
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 12, 200, 8, 16, 27, 0, 598.80, 4  (CARRY4=3 LUT6=1), 0.664, 0.636, 0.028
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 12, 400, 8, 16, 27, 0, 597.01, 5  (CARRY4=4 LUT6=1), 0.693, 0.637, 0.056
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 12, 600, 12, 16, 27, 0, 685.40, 4  (CARRY4=3 LUT6=1), 0.721, 0.637, 0.084
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 16, 200, 11, 20, 35, 0, 560.85, 2  (CARRY4=1 LUT6=1), 0.672, 0.637, 0.035
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 16, 400, 11, 20, 35, 0, 585.82, 2  (CARRY4=1 LUT6=1), 0.707, 0.637, 0.070
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B1456-02-0, 2, 16, 600, 14, 20, 35, 0, 671.59, 6  (CARRY4=5 LUT6=1), 0.743, 0.637, 0.106
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B3456-02-0, 2, 4, 200, 5, 8, 11, 0, 599.88, 2  (CARRY4=1 LUT6=1), 0.650, 0.636, 0.014
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B3456-02-0, 2, 4, 400, 5, 8, 11, 0, 670.24, 3  (CARRY4=2 LUT6=1), 0.664, 0.636, 0.028
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B3456-02-0, 2, 4, 600, 6, 8, 11, 0, 704.23, 3  (CARRY4=2 LUT6=1), 0.678, 0.637, 0.042
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B3456-02-0, 2, 5, 400, 5, 9, 13, 0, 687.76, 3  (CARRY4=2 LUT6=1), 0.668, 0.636, 0.031
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B3456-02-0, 2, 5, 600, 7, 9, 13, 0, 702.25, 2  (CARRY4=1 LUT6=1), 0.683, 0.637, 0.047
a_and_b, A B, -1 0 3 5, C1, virtex7, HM1-C1-B3456-02-0, 2, 5, 200, 5, 9, 13, 0, 687.76, 3  (CARRY4=2 LUT6=1), 0.652, 0.636, 0.016
